method,timestep,n,snr_mean_db,snr_std_db,snr_ci95_db,psnr_mean_db,psnr_std_db,psnr_ci95_db,lpips_mean,lpips_std,lpips_ci95
iso,50,50000,15.564487948639401,2.1581998887739164,0.01891745610849737,21.414801701850873,0.2817307313611093,0.0024694787413627553,0.029565374170807186,0.02174645686458786,0.00019061609881042274
iso,60,50000,14.193672189228835,2.1566564031448396,0.018903926860444845,20.04398593990321,0.2870169339829355,0.0025158143503113,0.04134385854523161,0.027946634654412304,0.00024496305333209965
iso,70,50000,13.034806232520978,2.15453474103182,0.018885329672061656,18.885119977646063,0.2893017631385232,0.00253584176088206,0.054241005591964465,0.03390706153432419,0.00029720849847142747
iso,80,50000,12.034514871847449,2.151083596144098,0.018855079053350595,17.884828626213128,0.28842344018087124,0.0025281429207111876,0.06779937385937182,0.03936151517739664,0.0003450188926454704
iso,90,50000,11.158743177234767,2.1478036299982066,0.018826328882467443,17.009056929893504,0.2848313992940436,0.002496657294115639,0.08183953739699001,0.0443026237930621,0.0003883296192609148
iso,100,50000,10.383207063928184,2.1437108362372217,0.01879045396340304,16.233520814781315,0.27885755823576547,0.0024442942685187295,0.09612778008839111,0.048722847269732694,0.00042707458632565236
iso,200,50000,5.713289722429896,2.0898832813868653,0.0183186346423077,11.563603477745028,0.12588014157595465,0.0011033880900380379,0.2329110520070043,0.07009598970279451,0.0006144184398682494
iso,300,50000,3.650409997228732,2.0610780820421057,0.018066145937653665,9.500723746414232,0.2312651157694851,0.002027128117164915,0.32939143204510346,0.07098894159246663,0.0006222455082819489
iso,400,50000,2.6111008995365745,2.0591360499485947,0.0180491232758134,8.461414654493367,0.4007061199337012,0.0035123440028340023,0.38416195991665225,0.07167890067696721,0.0006282932663073252
iso,500,50000,2.04947796460417,2.0674045558394405,0.018121599925491016,7.899791714096075,0.5193644729225638,0.004552430324888551,0.412119051662982,0.0730547056392127,0.0006403527285112259
iso,600,50000,1.7397298726868295,2.0758680374822975,0.018195785612987635,7.590043620986942,0.5967821582018628,0.005231026256113723,0.42490638746201914,0.07391628853097512,0.0006479048355350139
iso,700,50000,1.5705419825656817,2.083204926062399,0.018260096276892755,7.420855735177979,0.64486157744667,0.005652460947134118,0.43036784971177633,0.074505495250158,0.0006530694601404326
iso,800,50000,1.482725651070261,2.0883772029012366,0.0183054332823243,7.333039401645641,0.6712265199841658,0.005883559857782047,0.43294193058758884,0.07446689292397808,0.0006527310958327553
iso,900,50000,1.4388339874305913,2.0916097949951933,0.018333768201333516,7.289147737312312,0.6849775064000163,0.006004092568085435,0.4339750284495947,0.07471814540104206,0.0006549334208962178
iso,1000,50000,1.4057618180035572,2.0927715023796236,0.01834395101552519,7.25607556919098,0.688430739511333,0.006034361490883341,0.4346779268082958,0.0745506091525331,0.0006534649009300015
